Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals
2015-11-21,Watford,Man United,1,2
2015-11-21,West Brom,Arsenal,2,1
2015-11-22,Tottenham,West Ham,4,1
2015-11-23,Crystal Palace,Sunderland,0,1
2015-11-28,Aston Villa,Watford,2,3
2015-11-28,Bournemouth,Everton,3,3
2015-11-28,Crystal Palace,Newcastle,5,1
2015-11-28,Leicester,Man United,1,1
2015-11-28,Man City,Southampton,3,1
2015-11-28,Sunderland,Stoke,2,0
2015-11-29,Liverpool,Swansea,1,0
2015-11-29,Norwich,Arsenal,1,1
2015-11-29,Tottenham,Chelsea,0,0
2015-11-29,West Ham,West Brom,1,1
2015-05-12,Arsenal,Sunderland,3,1
2015-05-12,Chelsea,Bournemouth,0,1
2015-05-12,Man United,West Ham,0,0
2015-05-12,Southampton,Aston Villa,1,1
2015-05-12,Stoke,Man City,2,0
2015-05-12,Swansea,Leicester,0,3
2015-05-12,Watford,Norwich,2,0
2015-05-12,West Brom,Tottenham,1,1
2015-06-12,Newcastle,Liverpool,2,0
2015-07-12,Everton,Crystal Palace,1,1
2015-12-12,Bournemouth,Man United,2,1
2015-12-12,Crystal Palace,Southampton,1,0
2015-12-12,Man City,Swansea,2,1
2015-12-12,Norwich,Everton,1,1
2015-12-12,Sunderland,Watford,0,1
2015-12-12,West Ham,Stoke,0,0
2015-12-13,Aston Villa,Arsenal,0,2
2015-12-13,Liverpool,West Brom,2,2
2015-12-13,Tottenham,Newcastle,1,2
2015-12-14,Leicester,Chelsea,2,1
2015-12-19,Chelsea,Sunderland,3,1
2015-12-19,Everton,Leicester,2,3
2015-12-19,Man United,Norwich,1,2
2015-12-19,Newcastle,Aston Villa,1,1
2015-12-19,Southampton,Tottenham,0,2
2015-12-19,Stoke,Crystal Palace,1,2
2015-12-19,West Brom,Bournemouth,1,2
2015-12-20,Swansea,West Ham,0,0
2015-12-20,Watford,Liverpool,3,0
2015-12-21,Arsenal,Man City,2,1
2015-12-26,Aston Villa,West Ham,1,1
2015-12-26,Bournemouth,Crystal Palace,0,0
2015-12-26,Chelsea,Watford,2,2
2015-12-26,Liverpool,Leicester,1,0
2015-12-26,Man City,Sunderland,4,1
2015-12-26,Newcastle,Everton,0,1
2015-12-26,Southampton,Arsenal,4,0
2015-12-26,Stoke,Man United,2,0
2015-12-26,Swansea,West Brom,1,0
2015-12-26,Tottenham,Norwich,3,0
2015-12-28,Arsenal,Bournemouth,2,0
2015-12-28,Crystal Palace,Swansea,0,0
2015-12-28,Everton,Stoke,3,4
2015-12-28,Man United,Chelsea,0,0
2015-12-28,Norwich,Aston Villa,2,0
2015-12-28,Watford,Tottenham,1,2
2015-12-28,West Brom,Newcastle,1,0
2015-12-28,West Ham,Southampton,2,1
2015-12-29,Leicester,Man City,0,0
2015-12-30,Sunderland,Liverpool,0,1
2016-02-01,Arsenal,Newcastle,1,0
2016-02-01,Leicester,Bournemouth,0,0
2016-02-01,Man United,Swansea,2,1
2016-02-01,Norwich,Southampton,1,0
2016-02-01,Sunderland,Aston Villa,3,1
2016-02-01,Watford,Man City,1,2
2016-02-01,West Brom,Stoke,2,1
2016-02-01,West Ham,Liverpool,2,0
2016-03-01,Crystal Palace,Chelsea,0,3
2016-03-01,Everton,Tottenham,1,1
2016-12-01,Aston Villa,Crystal Palace,1,0
2016-12-01,Bournemouth,West Ham,1,3
2016-12-01,Newcastle,Man United,3,3
2016-01-13,Chelsea,West Brom,2,2
2016-01-13,Liverpool,Arsenal,3,3
2016-01-13,Man City,Everton,0,0
2016-01-13,Southampton,Watford,2,0
2016-01-13,Stoke,Norwich,3,1
2016-01-13,Swansea,Sunderland,2,4
2016-01-13,Tottenham,Leicester,0,1
2016-01-16,Aston Villa,Leicester,1,1
2016-01-16,Bournemouth,Norwich,3,0
2016-01-16,Chelsea,Everton,3,3
2016-01-16,Man City,Crystal Palace,4,0
2016-01-16,Newcastle,West Ham,2,1
2016-01-16,Southampton,West Brom,3,0
2016-01-16,Tottenham,Sunderland,4,1
2016-01-17,Liverpool,Man United,0,1
2016-01-17,Stoke,Arsenal,0,0
2016-01-18,Swansea,Watford,1,0
2016-01-23,Crystal Palace,Tottenham,1,3
2016-01-23,Leicester,Stoke,3,0
2016-01-23,Man United,Southampton,0,1
2016-01-23,Norwich,Liverpool,4,5
2016-01-23,Sunderland,Bournemouth,1,1
2016-01-23,Watford,Newcastle,2,1
2016-01-23,West Brom,Aston Villa,0,0
2016-01-23,West Ham,Man City,2,2
2016-01-24,Arsenal,Chelsea,0,1
2016-01-24,Everton,Swansea,1,2
2016-02-02,Arsenal,Southampton,0,0
2016-02-02,Crystal Palace,Bournemouth,1,2
2016-02-02,Leicester,Liverpool,2,0
2016-02-02,Man United,Stoke,3,0
2016-02-02,Norwich,Tottenham,0,3
2016-02-02,Sunderland,Man City,0,1
2016-02-02,West Brom,Swansea,1,1
2016-02-02,West Ham,Aston Villa,2,0
2016-03-02,Everton,Newcastle,3,0
2016-03-02,Watford,Chelsea,0,0
2016-06-02,Aston Villa,Norwich,2,0
2016-06-02,Liverpool,Sunderland,2,2
2016-06-02,Man City,Leicester,1,3
2016-06-02,Newcastle,West Brom,1,0
2016-06-02,Southampton,West Ham,1,0
2016-06-02,Stoke,Everton,0,3
2016-06-02,Swansea,Crystal Palace,1,1
2016-06-02,Tottenham,Watford,1,0
2016-07-02,Bournemouth,Arsenal,0,2
2016-07-02,Chelsea,Man United,1,1
2016-02-13,Bournemouth,Stoke,1,3
2016-02-13,Chelsea,Newcastle,5,1
2016-02-13,Crystal Palace,Watford,1,2
2016-02-13,Everton,West Brom,0,1
2016-02-13,Norwich,West Ham,2,2
2016-02-13,Sunderland,Man United,2,1
2016-02-13,Swansea,Southampton,0,1
2016-02-14,Arsenal,Leicester,2,1
2016-02-14,Aston Villa,Liverpool,0,6
2016-02-14,Man City,Tottenham,1,2
2016-02-27,Leicester,Norwich,1,0
2016-02-27,Southampton,Chelsea,1,2
2016-02-27,Stoke,Aston Villa,2,1
2016-02-27,Watford,Bournemouth,0,0
2016-02-27,West Brom,Crystal Palace,3,2
2016-02-27,West Ham,Sunderland,1,0
2016-02-28,Tottenham,Swansea,2,1
2016-02-28,Man United,Arsenal,3,2
2016-01-03,Aston Villa,Everton,1,3
2016-01-03,Bournemouth,Southampton,2,0
2016-01-03,Leicester,West Brom,2,2
